stock_code,date,monthly_return
000066,2026-01-31,0.1013185287994447
000066,2026-02-28,0.04536862003780717
000066,2026-03-31,-0.11332127787823987
000066,2026-04-30,0.34738273283480625
000066,2026-05-31,-0.10191725529767914
000066,2026-06-30,0.0702247191011236
000526,2026-01-31,-0.029831768744728038
000526,2026-02-28,-0.0223389756199468
000526,2026-03-31,-0.1749999952956991
000526,2026-04-30,0.132616385382327
000526,2026-05-31,-0.1648445722004933
000526,2026-06-30,-0.12573206594102415
000630,2026-01-31,0.3791946308724834
000630,2026-02-28,-0.041362530413625365
000630,2026-03-31,-0.2690355329949239
000630,2026-04-30,0.05902777777777768
000630,2026-05-31,0.12295081967213117
000630,2026-06-30,-0.07153284671532834
000733,2026-01-31,0.041130098810880256
000733,2026-02-28,0.05888874132873334
000733,2026-03-31,-0.21530688257833175
000733,2026-04-30,-0.06176401074268001
000733,2026-05-31,0.21027707790670136
000733,2026-06-30,0.10819796305619334
000858,2026-01-31,-0.009094456181361621
000858,2026-02-28,-0.009275503012605157
000858,2026-03-31,-0.00768699115317828
000858,2026-04-30,-0.0614758355054954
000858,2026-05-31,-0.1289947301587302
000858,2026-06-30,-0.13230470495212487
000960,2026-01-31,0.4316920714842909
000960,2026-02-28,0.1140130587644399
000960,2026-03-31,-0.2885482416591524
000960,2026-04-30,0.12471769573891778
000960,2026-05-31,0.06382978723404253
000960,2026-06-30,0.13839999999999986
001221,2026-01-31,0.1731997927819029
001221,2026-02-28,0.025610833088019147
001221,2026-03-31,-0.016934557979334297
001221,2026-04-30,-0.16759124087591226
001221,2026-05-31,-0.09505436688881097
001221,2026-06-30,-0.21783231134581094
001317,2026-01-31,-0.12248230811105065
001317,2026-02-28,0.09429280397022333
001317,2026-03-31,-0.10770975056689347
001317,2026-04-30,0.11880559085133413
001317,2026-05-31,-0.02971796327844034
001317,2026-06-30,-0.22785797893094029
001391,2026-01-31,0.0016891891891892552
001391,2026-02-28,0.010118043844856706
001391,2026-03-31,-0.12520868113522532
001391,2026-04-30,-0.007633587786259555
001391,2026-05-31,-0.007692307692307665
001391,2026-06-30,-0.2112403100775193
002046,2026-01-31,0.041917554423344106
002046,2026-02-28,0.16848188486330296
002046,2026-03-31,-0.16758607570857909
002046,2026-04-30,0.19309872029250474
002046,2026-05-31,0.01513120091936404
002046,2026-06-30,0.39398021931330995
002102,2026-01-31,0.04204204204204198
002102,2026-02-28,0.020172910662824117
002102,2026-03-31,-0.0847457627118644
002102,2026-04-30,-0.1820987654320988
002102,2026-05-31,-0.12452830188679254
002102,2026-06-30,-0.0775862068965516
002171,2026-01-31,-0.004524886877828038
002171,2026-02-28,0.040909090909091006
002171,2026-03-31,-0.17321688500727805
002171,2026-04-30,-0.004401408450704136
002171,2026-05-31,0.05393457117595024
002171,2026-06-30,0.14562802661386498
002236,2026-01-31,0.001055966209081216
002236,2026-02-28,0.015822784810126667
002236,2026-03-31,-0.12512980269989604
002236,2026-04-30,0.09732937685459908
002236,2026-05-31,-0.0785235076907288
002236,2026-06-30,-0.011983223487118222
002293,2026-01-31,0.017526777020447692
002293,2026-02-28,-0.020095693779904167
002293,2026-03-31,-0.021484375
002293,2026-04-30,0.12375249500997998
002293,2026-05-31,-0.08102173239556709
002293,2026-06-30,-0.005030181086518981
002353,2026-01-31,0.24594098545813914
002353,2026-02-28,0.3288385269121814
002353,2026-03-31,-0.17455444700264344
002353,2026-04-30,0.415289256198347
002353,2026-05-31,0.024817518248175352
002353,2026-06-30,0.09122831199417325
002436,2026-01-31,0.11431270666036841
002436,2026-02-28,0.10089020771513346
002436,2026-03-31,-0.22795533307662685
002436,2026-04-30,0.38204488778054846
002436,2026-05-31,0.3970180671945607
002436,2026-06-30,0.3172182006204758
002493,2026-01-31,0.25960717335610584
002493,2026-02-28,0.057627118644067776
002493,2026-03-31,-0.23076923076923084
002493,2026-04-30,0.1625000000000001
002493,2026-05-31,-0.192831541218638
002493,2026-06-30,-0.03673835125448033
002557,2026-01-31,0.05827937095282132
002557,2026-02-28,0.009615384615384803
002557,2026-03-31,-0.0835497835497836
002557,2026-04-30,0.09919697685403883
002557,2026-05-31,-0.05672539750752048
002557,2026-06-30,-0.14135071623434492
002612,2026-01-31,-0.08512720156555786
002612,2026-02-28,-0.0010695187165775666
002612,2026-03-31,-0.11134903640256943
002612,2026-04-30,-0.030722891566265065
002612,2026-05-31,-0.11610096433368755
002612,2026-06-30,-0.15075757575757565
002727,2026-01-31,0.09331259720062213
002727,2026-02-28,-0.034850640113798015
002727,2026-03-31,-0.06558585114222559
002727,2026-04-30,0.0
002727,2026-05-31,-0.07118709225150666
002727,2026-06-30,-0.17113223854796888
002815,2026-01-31,0.08931185944363107
002815,2026-02-28,0.06518817204301053
002815,2026-03-31,-0.14258675078864347
002815,2026-04-30,0.022810890360559277
002815,2026-05-31,0.1961011832347601
002815,2026-06-30,0.005454545454545379
002869,2026-01-31,-0.002149613069647449
002869,2026-02-28,-0.006462731581215131
002869,2026-03-31,0.09496964440589761
002869,2026-04-30,-0.1647524752475248
002869,2026-05-31,-0.14319582740635373
002869,2026-06-30,-0.09186496956281132
002947,2026-01-31,-0.11572472126105349
002947,2026-02-28,0.07608695652173925
002947,2026-03-31,0.02020202020202011
002947,2026-04-30,0.6198418019335319
002947,2026-05-31,0.0867478774455519
002947,2026-06-30,-0.1389266304347826
003816,2026-01-31,0.02393617021276606
003816,2026-02-28,0.025974025974025983
003816,2026-03-31,0.1670886075949367
003816,2026-04-30,-0.006507592190889477
003816,2026-05-31,0.0
003816,2026-06-30,-0.14628820960698685
300037,2026-01-31,-0.03320610687022907
300037,2026-02-28,0.12731938412949084
300037,2026-03-31,-0.013832953948520355
300037,2026-04-30,0.23589944096898696
300037,2026-05-31,0.06570188133140387
300037,2026-06-30,0.2608636610537751
300138,2026-01-31,0.09186140209508453
300138,2026-02-28,0.06937269372693744
300138,2026-03-31,-0.16494133885438234
300138,2026-04-30,-0.04710743801652906
300138,2026-05-31,-0.062016195053942846
300138,2026-06-30,-0.14448669201520914
300274,2026-01-31,-0.11716557530402238
300274,2026-02-28,-0.04304635761589404
300274,2026-03-31,0.04332179930795843
300274,2026-04-30,-0.08855133987795172
300274,2026-05-31,0.301555461559079
300274,2026-06-30,-0.10657902129333108
300378,2026-01-31,0.2185152452496688
300378,2026-02-28,-0.11586582048957395
300378,2026-03-31,-0.24118129614438055
300378,2026-04-30,0.05189189189189203
300378,2026-05-31,-0.09532374100719432
300378,2026-06-30,0.028663344471231866
300442,2026-01-31,0.549810606060606
300442,2026-02-28,0.26347305389221565
300442,2026-03-31,-0.21849308443756654
300442,2026-04-30,0.10222772277227721
