stock_code,date,monthly_return
000155,2026-01-31,0.0669527897
000155,2026-02-28,0.1625100563
000155,2026-03-31,0.0982698962
000155,2026-04-30,0.097668557
000155,2026-05-31,-0.1819747417
000155,2026-06-30,-0.1592982456
000538,2026-01-31,-0.0208409025
000538,2026-02-28,0.0081436611
000538,2026-03-31,-0.0218469245
000538,2026-04-30,-0.0043168169
000538,2026-05-31,-0.0586239408
000538,2026-06-30,-0.0514617551
000661,2026-01-31,0.036259325
000661,2026-02-28,-0.0013578129
000661,2026-03-31,-0.1035456741
000661,2026-04-30,-0.0109672385
000661,2026-05-31,-0.1321221823
000661,2026-06-30,-0.0947397309
000762,2026-01-31,0.0274076894
000762,2026-02-28,0.164875917
000762,2026-03-31,-0.0763358754
000762,2026-04-30,0.3326446166
000762,2026-05-31,-0.2359173324
000762,2026-06-30,-0.0970577951
000887,2026-01-31,-0.0993061188
000887,2026-02-28,0.0423688012
000887,2026-03-31,-0.1773672517
000887,2026-04-30,-0.0314429552
000887,2026-05-31,0.2185507246
000887,2026-06-30,-0.1489058516
000973,2026-01-31,-0.1592920354
000973,2026-02-28,0.0955465587
000973,2026-03-31,0.3518108647
000973,2026-04-30,0.1470748416
000973,2026-05-31,-0.2969494757
000973,2026-06-30,-0.0271186441
001233,2026-01-31,0.38727017
001233,2026-02-28,-0.0512563958
001233,2026-03-31,-0.1826327603
001233,2026-04-30,-0.0225696924
001233,2026-05-31,-0.1278245072
001233,2026-06-30,-0.1546898609
001331,2026-01-31,0.1589342006
001331,2026-02-28,0.0281308351
001331,2026-03-31,-0.0181530659
001331,2026-04-30,-0.1390674973
001331,2026-05-31,0.4964208062
001331,2026-06-30,0.1726289238
001872,2026-01-31,0.0183486229
001872,2026-02-28,0.0439851593
001872,2026-03-31,0.0659897936
001872,2026-04-30,0.0166666667
001872,2026-05-31,0.0070257611
001872,2026-06-30,-0.1334884186
002050,2026-01-31,-0.0773993808
002050,2026-02-28,0.0053296486
002050,2026-03-31,-0.170430002
002050,2026-04-30,0.1039053018
002050,2026-05-31,-0.0124356349
002050,2026-06-30,-0.0544941803
002126,2026-01-31,-0.0241507431
002126,2026-02-28,0.3225455806
002126,2026-03-31,-0.1283158929
002126,2026-04-30,0.0828026205
002126,2026-05-31,0.0875816084
002126,2026-06-30,-0.0024038262
002180,2026-01-31,0.0474777966
002180,2026-02-28,0.0188857413
002180,2026-03-31,-0.2330862373
002180,2026-04-30,0.1577039974
002180,2026-05-31,-0.1711899791
002180,2026-06-30,0.0302267632
002244,2026-01-31,0.1563126253
002244,2026-02-28,-0.0311958406
002244,2026-03-31,-0.133273703
002244,2026-04-30,-0.0216718266
002244,2026-05-31,0.0875527426
002244,2026-06-30,-0.2628516004
002311,2026-01-31,-0.0712969615
002311,2026-02-28,0.0654631819
002311,2026-03-31,-0.0930925357
002311,2026-04-30,0.0034900842
002311,2026-05-31,-0.0644435543
002311,2026-06-30,-0.0244915592
002371,2026-01-31,0.0352373751
002371,2026-02-28,-0.0070605223
002371,2026-03-31,-0.0528103355
002371,2026-04-30,0.2016627645
002371,2026-05-31,0.173209273
002371,2026-06-30,0.404841775
002448,2026-01-31,0.0227808327
002448,2026-02-28,0.2795698925
002448,2026-03-31,-0.1734693878
002448,2026-04-30,0.082788671
002448,2026-05-31,-0.1146881288
002448,2026-06-30,-0.0681818182
002517,2026-01-31,0.1401010565
002517,2026-02-28,-0.0902497985
002517,2026-03-31,-0.2205491585
002517,2026-04-30,0.0159090341
002517,2026-05-31,-0.1085010687
002517,2026-06-30,0.0194479297
002565,2026-01-31,-0.0780141844
002565,2026-02-28,-0.030177574
002565,2026-03-31,0.0378280072
002565,2026-04-30,0.1181657848
002565,2026-05-31,-0.2329127234
002565,2026-06-30,-0.1315969842
002627,2026-01-31,0.2469470828
002627,2026-02-28,-0.050054407
002627,2026-03-31,-0.0962199313
002627,2026-04-30,-0.0570342205
002627,2026-05-31,-0.0241935484
002627,2026-06-30,-0.2134986226
002738,2026-01-31,0.0890454418
002738,2026-02-28,0.0647058824
002738,2026-03-31,-0.1845303536
002738,2026-04-30,0.2234416982
002738,2026-05-31,-0.3145420499
002738,2026-06-30,-0.0468572798
002831,2026-01-31,0.0141700911
002831,2026-02-28,0.0978043364
002831,2026-03-31,0.0018182273
002831,2026-04-30,0.1987295282
002831,2026-05-31,0.0189250568
002831,2026-06-30,0.320951003
002891,2026-01-31,-0.0401162612
002891,2026-02-28,-0.0492630537
